,wk_num,jikyu,station,wk_time,work_time_list,nikkyu
0,https://www.81100.jp/kanto/detail/BT432151/?backto=1 ,1253,"ＪＲ青梅線 羽村駅 , ＪＲ八高線 箱根ケ崎駅",11:00　～　20:30,8.5,10650
1,https://www.81100.jp/kanto/detail/BT432144/?backto=1 ,1305,"ＪＲ中央線 豊田駅 , ＪＲ八高線 北八王子駅",9:00 　～　17:00,7.0,9135
2,https://www.81100.jp/kanto/detail/BT432128/?backto=1 ,1250,"小田急小田原線 本厚木駅 , 小田急小田原線 海老名駅 , ＪＲ相模線 原当麻駅",17:00　～　21:00,4.0,5000
3,https://www.81100.jp/kanto/detail/BT432047/?backto=1 ,1500,"ＪＲ中央線 西国分寺駅 , ＪＲ中央線 西国分寺駅",12:00　～　13:00,1.0,1500
4,https://www.81100.jp/kanto/detail/BT431955/?backto=1 ,1247,"ＪＲ京浜東北・根岸線 川崎駅 , 京浜急行大師線 京急川崎駅",13:00　～　18:00,5.0,6235
5,https://www.81100.jp/kanto/detail/BT431889/?backto=1 ,1250,都営浅草線 三田(東京)駅,9:00 　～　18:00,8.0,10000
6,https://www.81100.jp/kanto/detail/BT431875/?backto=1 ,1250,"小田急江ノ島線 南林間駅 , 小田急小田原線 小田急相模原駅 , 小田急小田原線 相武台前駅",16:30　～　19:30,3.0,3750
7,https://www.81100.jp/kanto/detail/BT431817/?backto=1 ,1281,"ＪＲ八高線 東福生駅 , ＪＲ青梅線 福生駅 , ＪＲ青梅線 福生駅",21:00　～　30:00,8.0,12489
8,https://www.81100.jp/kanto/detail/BT431812/?backto=1 ,1281,"ＪＲ八高線 東福生駅 , ＪＲ青梅線 福生駅 , ＪＲ青梅線 福生駅",9:00 　～　17:00,7.0,8967
9,https://www.81100.jp/kanto/detail/BT431810/?backto=1 ,1281,"ＪＲ八高線 東福生駅 , ＪＲ青梅線 福生駅 , ＪＲ青梅線 福生駅",21:00　～　30:00,8.0,12489
10,https://www.81100.jp/kanto/detail/BT431808/?backto=1 ,1281,"ＪＲ八高線 東福生駅 , ＪＲ青梅線 福生駅 , ＪＲ青梅線 福生駅",9:00 　～　17:00,7.0,8967
11,https://www.81100.jp/kanto/detail/BT431806/?backto=1 ,1281,"ＪＲ八高線 東福生駅 , ＪＲ青梅線 福生駅 , ＪＲ青梅線 福生駅",21:00　～　30:00,8.0,12489
12,https://www.81100.jp/kanto/detail/BT431791/?backto=1 ,1305,"京浜急行本線 品川駅 , 東京モノレール 天王洲アイル駅",（1） 21:00　～　30:00（2） 22:00　～　31:00,8.0 8.0,12723 13050
13,https://www.81100.jp/kanto/detail/BT431720/?backto=1 ,1305,"京浜急行本線 品川駅 , 東京モノレール 天王洲アイル駅",（1） 10:30　～　17:30（2） 10:30　～　18:30（3） 10:30　～　19:30,6.0 7.0 8.0,7830 9135 10440
14,https://www.81100.jp/kanto/detail/BT431700/?backto=1 ,1230,"ＪＲ相模線 原当麻駅 , ＪＲ相模線 番田(神奈川)駅 , ＪＲ相模線 原当麻駅",18:00　～　23:00,5.0,8302
15,https://www.81100.jp/kanto/detail/BT431696/?backto=1 ,1700,"ＪＲ埼京線 北赤羽駅 , 都営三田線 志村坂上駅",10:00　～　17:30,6.5,11050
16,https://www.81100.jp/kanto/detail/BT431675/?backto=1 ,1500,東京メトロ東西線 竹橋駅,8:00 　～　9:00,1.0,1500
17,https://www.81100.jp/kanto/detail/BT431663/?backto=1 ,1247,ＪＲ京浜東北・根岸線 川崎駅,9:00 　～　16:00,6.0,7482
18,https://www.81100.jp/kanto/detail/BT431650/?backto=1 ,1350,"小田急小田原線 新宿駅 , 小田急小田原線 新宿駅 , 小田急小田原線 新宿駅",12:45　～　19:15,5.5,7425
19,https://www.81100.jp/kanto/detail/BT431611/?backto=1 ,1247,"小田急小田原線 愛甲石田駅 , 小田急小田原線 愛甲石田駅 , 小田急小田原線 本厚木駅",21:00　～　30:00,8.0,12158
